"gene_symbols","lfc","WT_expression","KO_expression"
"Irf5",-0.160634326586477,16.13116,22.004421
"Ahcyl2",0.100973725174439,53.56309,49.297031
"Klhdc10",-0.249840750020505,12.286117,18.181501
"Hibadh",-0.30335612032542,63.201179,90.686213
"Gars",0.185937813990209,32.085462,25.271891
"Adcyap1r1",0.0157427666993506,0.415615,0.379238
"Nt5c3",-0.270196670450959,12.88672,23.35607
"Fkbp9",-0.0368468564561955,18.120198,19.614826
"Tmem209",0.169017806900047,16.646914,12.512961
"Ssmem1",0,0,0
"Avl9",0.471582359312054,24.387508,12.857345
"Cpa5",0,0,0
"Cep41",0.124460043098294,4.077208,2.712022
"Sspo",0.222235639706193,0.846571,0.199033
"Herc6",0.0704991041201488,13.935332,12.607731
"Abcg2",-0.0496492689238366,37.524459,41.074084
"Herc3",-0.186049012915165,13.812857,19.836018
"Tmem176b",-0.034608847471242,144.617988,153.528385
"Aoc1",-0.219134222873967,2.940893,6.121078
"Aoc1l2",0,0,0
"Igf2bp3",0.0172142503214499,0.350151,0.310845
"Malsu1",-0.372564572481737,1.111221,5.26504
"Gpnmb",-0.159436953858236,1.659597,3.113519
"Tra2a",0.107732519530545,25.977411,22.582249
"Npy",0.0861304050590999,120.35311,106.630347
"Gsdme",-0.103213486026858,0.346956,0.777837
"Osbpl3",-0.111681558803641,10.189878,12.567165
"Luc7l2",0.128452175052027,61.601502,54.845594
"Zc3hav1",0.214824832948203,34.344135,27.696894
"4921507P07Rik",0.072507546295661,0.669066,0.345333
"Tmem213",-0.410448359823301,24.497418,68.071758
"Svopl",0.0186528848493186,2.018414,1.890497
"Npvf",0,0,0
"Nfe2l3",-0.128294926531119,0,0.166755
"Trim24",-0.290011650759718,14.203179,22.254224
"Cbx3",-0.0775666214645963,53.949437,60.857599
"Ptn",0.230525258585939,4.141291,1.218393
"Mtpn",-0.0249838356733747,47.114255,49.460866
"Slc13a4",-0.181376741602014,0,0.241728
"Hoxa1",-0.118020146504912,0,0.179844
"Slc23a4",-0.0503354398648348,0,0.033432
"Stra8",-0.0355934334579295,0,0.030176
"Tcaf2",-0.0158120635901682,1.350846,1.475333
"Epha1",-0.0276059345083546,2.365163,2.674782
"Zyx",0.489875064714987,47.866652,22.423501
"Fam131b",-0.0711814520842839,0,0.031621
"Clcn1",-0.0503354398648348,0,0.018159
"Casp2",-0.0326700312686903,15.456986,16.678487
"Gstk1",0.0898427891729785,24.364619,19.890028
"Sval1",0,0,0
"Kel",-0.0795812653626786,0,0.064525
"Llcfc1",-0.0711814520842839,0,0.228307
"Trpv6",-0.0517298903784962,0.534246,0.798764
"Ephb6",0.205693914180193,4.078057,2.016704
"Ccdc184",0.127102863404933,0.523788,0.129766
"2210010C04Rik",0,0,0
"Prss59",0,0,0
"Moxd2",0,0,0
"Prss37",0,0,0
"Mad2l1",0.120303460635395,7.985796,5.766115
"Ssbp1",-0.185748969893023,4.926838,9.606707
"Prdm5",-0.0874038362941274,1.887198,3.208163
"Clec5a",-0.205818448474513,1.228472,3.197116
"Agk",0.257167115705901,14.787613,9.062845
"Qrfprl",0,0,0
"Mrps33",0.12538397537417,40.172261,31.140019
"Hpgds",0.597625243568219,23.695973,4.321428
"Smarcad1",0.494888484211151,34.81187,16.588924
"Mkrn1",0.0494176054066209,29.934283,28.360281
"Rab19",0.152555642809284,5.325427,2.858784
"Slc37a3",0.0330134613208379,10.830863,10.445517
"Tbxas1",0.118558458837617,16.87213,13.477882
"Gfpt1",-0.154926745845691,14.480003,18.020286
"Nfu1",-0.227115157942952,8.53065,17.895377
"Anxa4",0.045125474367202,34.507673,33.21735
"Pcyox1",-0.417425640147989,18.431152,31.507829
"Tgfa",0.305834174677644,2.772399,0.858527
"Add2",-0.0877487149300133,0.362886,0.639181
"Figla",0,0,0
"Dusp11",-0.166550517643094,35.338204,44.199939
